Country,AR,Cumulated WG,Author Id,Author
Canada,4,WG2,2153,Mark Nuttall
Canada,4,WG2,2282,Tristan Pearce
Canada,4,WG2,2473,James Reist
Canada,4,WG2,2550,George Rose
Canada,4,WG2,2693,Daniel Scott
Canada,4,WG2,2797,Barry Smit
Canada,4,WG2,2883,John M.R. Stone
Canada,4,WG2,3147,Johanna Wandel
Canada,4,WG2,3277,Fred Wrona
Canada,4,WG2+3,393,Sarah Burch
Canada,4,WG2+3,2518,John B. Robinson
Canada,4,WG3,114,Michael J. Apps
Canada,4,WG3,232,Pablo Benítez-Ponce
Canada,4,WG3,488,Wenjun Chen
Canada,4,WG3,574,Philippe J. Crabbé
Canada,4,WG3,723,John Drexhage
Canada,4,WG3,1054,Raymond E. Gullison
Canada,4,WG3,1079,Erik Haites
Canada,4,WG3,1334,H. Henry Janzen
Canada,4,WG3,1599,Werner A. Kurz
Canada,4,WG3,1891,Tim McAllister
Canada,4,WG3,2341,László Pinter
Canada,4,WG3,3072,G. Cornelis van Kooten
Chad,4,WG2,2226,Hubert N'Djafa Ouaga
Chad,4,WG2,2938,Ramadjita Tabo
Chile,3,WG2,209,Eduardo Basso
Chile,3,WG3,515,Luis A. Cifuentes
Chile,3,WG3,2018,J.P. Montero
Chile,4,WG1,446,Jorge Carrasco
Chile,4,WG2,450,Gino Casassa
Chile,4,WG2,3338,Ricardo Zapata-Marti
Chile,4,WG3,515,Luis A. Cifuentes
China,1,WG1,437,H-X. Cao
China,1,WG1,899,Congbin Fu
China,1,WG1,1727,X Lin
China,1,WG1,2747,G.Y. Shi
China,1,WG1,2902,W. Su
China,1,WG1,3319,D. Ye
China,1,WG1,3341,Q.-C. Zeng
China,1,WG2,3605,Cheng Guodong
China,1,WG2,1743,Chunzhen Liu
China,1,WG2,3320,R. Ye
China,1,WG2,3350,Jia-cheng Zhang
China,1,WG3,1726,Erda Lin
China,1,WG3,1784,Ji-Bin Luo
China,1,WG3,3290,Shao-Xiong Xie
China,2,WG1,103,S. Anjian
China,2,WG1,294,W. Bomin
China,2,WG1,899,Congbin Fu
China,2,WG1,3341,Q.-C. Zeng
China,2,WG1,3346,R. Zhang
China,2,WG1,3365,X. Zhou
China,2,WG1,3380,Q. Zu Jiangsu
China,2,WG2,260,Du Bilan
China,2,WG2,676,Xu Deying
China,2,WG2,1266,Yang Huating
China,2,WG2,1356,Su Jilan
China,2,WG2,1631,Siwei Lang
China,2,WG2,1726,Erda Lin
China,2,WG2,1743,Chunzhen Liu
China,2,WG2,1750,W. Lixian
China,2,WG2,1764,C. Long-Jun
China,2,WG2,2723,Xuemei Shao
China,2,WG2,3286,Youyu Xie
China,2,WG2,3347,Y. Zhang
China,2,WG2,3362,Q. Zhao
China,2,WG2,3366,Fengqi Zhou
China,2,WG3,2724,X. Shaoxiong
China,3,WG1,692,Yihui Ding
China,3,WG1,899,Congbin Fu
China,3,WG1,993,D. Gong
China,3,WG1,2404,Y. Qian
China,3,WG1,2474,Guoyu Ren
China,3,WG1,2747,G.Y. Shi
China,3,WG1,3153,M. Wang
China,3,WG1,3156,S.-W. Wang
